experiment,activity_relative_error,coefficient_relative_error,noise_frac,sigma_J
exp09_temporal_basis_recovery,4.791691019029896e-14,8.757810361405987e-14,0.0,0.14124464831991446
exp09_temporal_basis_recovery,0.07500417647233498,0.13171409554652522,0.02,0.14124464831991446
exp09_temporal_basis_recovery,0.1875149132321631,0.32929627924874066,0.05,0.14124464831991446
exp09_temporal_basis_recovery,0.37503959511042373,0.6586238443754278,0.1,0.14124464831991446
exp09_temporal_basis_recovery,0.5821249175442198,0.9004808112062124,0.2,0.14124464831991446
