experiment,hypothesis,coefficient_relative_error,condition_number,effective_rank,geometry,min_visibility,noise_frac,numerical_rank,residual_norm,sigma_J
exp01_conditioning_predicts_recovery,H1,2.2848201349902133e-15,8.894848914155107,2,separated,3.2748865486756173,0.0,2,2.852474453782376e-14,3.273973901638325
exp01_conditioning_predicts_recovery,H1,0.013187374165704617,8.894848914155107,2,separated,3.2748865486756173,0.01,2,1.2730203796625847,3.273973901638325
exp01_conditioning_predicts_recovery,H1,0.06593670522769698,8.894848914155107,2,separated,3.2748865486756173,0.05,2,6.365101898312885,3.273973901638325
exp01_conditioning_predicts_recovery,H1,0.1318733840182078,8.894848914155107,2,separated,3.2748865486756173,0.1,2,12.730203796625766,3.273973901638325
exp01_conditioning_predicts_recovery,H1,0.2637467415992376,8.894848914155107,2,separated,3.2748865486756173,0.2,2,25.460407593251528,3.273973901638325
exp01_conditioning_predicts_recovery,H1,0.0,2.2630319646905694,2,close,12.097922644152776,0.0,2,2.6609094845450532e-14,9.598349265301017
exp01_conditioning_predicts_recovery,H1,0.005665086626808528,2.2630319646905694,2,close,12.097922644152776,0.01,2,1.6841667032811014,9.598349265301017
exp01_conditioning_predicts_recovery,H1,0.02832543995760569,2.2630319646905694,2,close,12.097922644152776,0.05,2,8.420833516405507,9.598349265301017
exp01_conditioning_predicts_recovery,H1,0.05665088162110198,2.2630319646905694,2,close,12.097922644152776,0.1,2,16.84166703281101,9.598349265301017
exp01_conditioning_predicts_recovery,H1,0.11330176494809412,2.2630319646905694,2,close,12.097922644152776,0.2,2,33.68333406562203,9.598349265301017
